Equipment.Id,time_step,time_index,ref_date,health_score,failure_rate_score,zscore_risk_score,temperature_trend_score,voltage_instability_score,maintenance_overdue_score,cost_at_risk_score,quality_failure_score,spec_violation_score,failure_rate,z_composite_mean,temperature_slope,voltage_cv,maintenance_overdue_days
CNC_001,21,21,2025-05-18 05:02:00,49.4,40.9,38.2,23.2,20.4,100.0,70.6,100.0,100.0,0.5909,1.854,0.38414,0.11937,0
CNC_001,22,22,2025-05-18 05:16:00,42.4,39.1,30.6,0.0,9.3,100.0,70.6,100.0,100.0,0.6087,2.082,1.13204,0.13599,0
CNC_001,23,23,2025-05-18 05:31:00,36.6,37.5,9.1,0.0,1.2,100.0,70.6,100.0,100.0,0.625,2.727,1.61369,0.14825,0
CNC_001,24,24,2025-05-18 05:45:00,35.4,36.0,0.0,0.0,7.6,100.0,70.6,100.0,100.0,0.64,3.063,1.15118,0.13862,0
CNC_001,25,25,2025-05-18 06:00:00,35.3,34.6,0.0,0.0,8.4,100.0,70.6,100.0,100.0,0.6538,3.59,1.10589,0.13734,0
CNC_001,26,26,2025-05-18 06:14:00,36.6,33.3,0.0,0.0,19.4,100.0,70.6,100.0,100.0,0.6667,3.734,1.13909,0.1209,0
CNC_001,27,27,2025-05-18 06:28:00,39.1,32.1,0.0,0.0,37.4,100.0,70.6,100.0,100.0,0.6786,3.48,2.06069,0.09383,0
CNC_001,28,28,2025-05-18 06:43:00,41.6,31.0,4.4,0.0,50.0,100.0,70.6,100.0,100.0,0.6897,2.869,1.73289,0.07504,0
CNC_001,29,29,2025-05-18 06:57:00,46.2,33.3,16.6,0.0,60.8,100.0,70.6,100.0,100.0,0.6667,2.503,0.9905,0.05875,0
CNC_002,5,5,2025-05-18 01:12:00,58.1,50.0,53.0,0.0,68.6,100.0,72.6,100.0,100.0,0.5,1.41,1.02844,0.04714,0
CNC_002,6,6,2025-05-18 01:26:00,56.7,42.9,51.1,0.0,70.7,100.0,72.6,100.0,100.0,0.5714,1.468,1.20836,0.04389,0
CNC_002,7,7,2025-05-18 01:40:00,55.9,37.5,51.6,0.0,72.5,100.0,72.6,100.0,100.0,0.625,1.452,0.93696,0.04132,0
CNC_002,8,8,2025-05-18 01:55:00,58.7,44.4,60.3,0.0,70.0,100.0,72.6,100.0,100.0,0.5556,1.192,0.60206,0.04502,0
CNC_002,9,9,2025-05-18 02:09:00,74.0,40.0,66.7,97.8,71.7,100.0,72.6,100.0,100.0,0.6,1.0,0.01109,0.04252,0
CNC_002,10,10,2025-05-18 02:24:00,66.4,45.5,69.6,35.9,71.6,100.0,72.6,100.0,100.0,0.5455,0.911,-0.32042,0.04255,0
CNC_002,11,11,2025-05-18 02:38:00,61.0,50.0,72.7,0.0,61.3,100.0,72.6,100.0,100.0,0.5,0.82,-1.19622,0.05803,0
CNC_002,12,12,2025-05-18 02:52:00,59.3,46.2,72.8,0.0,55.3,100.0,72.6,100.0,100.0,0.5385,0.816,-2.1161,0.06703,0
CNC_002,13,13,2025-05-18 03:07:00,58.6,42.9,70.3,0.0,58.1,100.0,72.6,100.0,100.0,0.5714,0.892,-2.30424,0.06284,0
CNC_002,14,14,2025-05-18 03:21:00,58.3,40.0,70.0,0.0,60.5,100.0,72.6,100.0,100.0,0.6,0.899,-1.54918,0.05926,0
CNC_002,15,15,2025-05-18 03:36:00,56.2,37.5,63.3,0.0,58.8,100.0,72.6,100.0,100.0,0.625,1.101,-1.14774,0.06174,0
CNC_002,16,16,2025-05-18 03:50:00,57.4,35.3,63.8,10.0,59.0,100.0,72.6,100.0,100.0,0.6471,1.086,0.45016,0.06146,0
CNC_002,17,17,2025-05-18 04:04:00,53.9,33.3,57.8,0.0,56.2,100.0,72.6,100.0,100.0,0.6667,1.266,1.61579,0.06568,0
CNC_002,18,18,2025-05-18 04:19:00,52.9,31.6,55.4,0.0,54.8,100.0,72.6,100.0,100.0,0.6842,1.338,2.43191,0.0678,0
CNC_002,19,19,2025-05-18 04:33:00,54.2,35.0,57.6,0.0,55.9,100.0,72.6,100.0,100.0,0.65,1.271,2.06232,0.06619,0
CNC_002,20,20,2025-05-18 04:48:00,54.7,33.3,63.7,0.0,53.4,100.0,72.6,100.0,100.0,0.6667,1.088,1.97467,0.06985,0
CNC_002,21,21,2025-05-18 05:02:00,52.7,31.8,61.1,0.0,45.8,100.0,72.6,100.0,100.0,0.6818,1.166,0.66367,0.08125,0
CNC_002,22,22,2025-05-18 05:16:00,51.5,30.4,62.7,0.0,37.2,100.0,72.6,100.0,100.0,0.6957,1.12,-0.58565,0.0942,0
CNC_002,23,23,2025-05-18 05:31:00,49.0,29.2,57.7,0.0,28.9,100.0,72.6,100.0,100.0,0.7083,1.268,-1.78644,0.1067,0
CNC_002,24,24,2025-05-18 05:45:00,47.5,32.0,48.3,0.0,27.7,100.0,72.6,100.0,100.0,0.68,1.552,-2.72966,0.10844,0
CNC_002,25,25,2025-05-18 06:00:00,46.2,34.6,38.2,0.0,29.1,100.0,72.6,100.0,100.0,0.6538,1.854,-2.71012,0.10642,0
CNC_002,26,26,2025-05-18 06:14:00,46.3,33.3,35.9,0.0,34.4,100.0,72.6,100.0,100.0,0.6667,1.924,-3.43766,0.09846,0
CNC_002,27,27,2025-05-18 06:28:00,47.9,32.1,33.8,0.0,49.9,100.0,72.6,100.0,100.0,0.6786,1.986,-2.8685,0.0751,0
CNC_002,28,28,2025-05-18 06:43:00,47.3,31.0,29.6,0.0,52.7,100.0,72.6,100.0,100.0,0.6897,2.112,-2.4981,0.07099,0
CNC_002,29,29,2025-05-18 06:57:00,44.3,33.3,22.9,0.0,38.3,100.0,72.6,100.0,100.0,0.6667,2.312,-2.26304,0.09251,0
CNC_003,5,5,2025-05-18 01:12:00,49.9,16.7,59.5,0.0,61.0,100.0,55.1,100.0,100.0,0.8333,1.216,-3.1759,0.05853,0
CNC_003,6,6,2025-05-18 01:26:00,48.3,14.3,54.1,0.0,60.5,100.0,55.1,100.0,100.0,0.8571,1.378,-3.24082,0.05925,0
CNC_003,7,7,2025-05-18 01:40:00,47.5,12.5,50.1,0.0,63.4,100.0,55.1,100.0,100.0,0.875,1.497,-2.88338,0.05491,0
CNC_003,8,8,2025-05-18 01:55:00,46.6,11.1,47.4,0.0,62.7,100.0,55.1,100.0,100.0,0.8889,1.578,-2.30344,0.05594,0
CNC_003,9,9,2025-05-18 02:09:00,48.9,20.0,48.6,0.0,64.7,100.0,55.1,100.0,100.0,0.8,1.542,-1.7101,0.05296,0
CNC_003,10,10,2025-05-18 02:24:00,48.4,18.2,51.0,0.0,60.6,100.0,55.1,100.0,100.0,0.8182,1.469,-1.12901,0.05913,0
CNC_003,11,11,2025-05-18 02:38:00,66.1,25.0,55.6,98.3,64.7,100.0,55.1,100.0,100.0,0.75,1.331,-0.0086,0.05297,0
CNC_003,12,12,2025-05-18 02:52:00,52.4,23.1,61.3,0.0,66.8,100.0,55.1,100.0,100.0,0.7692,1.16,1.00772,0.04986,0
CNC_003,13,13,2025-05-18 03:07:00,51.9,21.4,65.3,0.0,59.9,100.0,55.1,100.0,100.0,0.7857,1.04,1.7805,0.06009,0
CNC_003,14,14,2025-05-18 03:21:00,52.2,20.0,68.1,0.0,60.7,100.0,55.1,100.0,100.0,0.8,0.957,2.23296,0.059,0
CNC_003,15,15,2025-05-18 03:36:00,54.1,18.8,75.4,0.0,65.0,100.0,55.1,100.0,100.0,0.8125,0.738,1.78166,0.05257,0
CNC_003,16,16,2025-05-18 03:50:00,53.9,17.6,75.6,0.0,65.0,100.0,55.1,100.0,100.0,0.8235,0.731,1.30696,0.05257,0
CNC_003,17,17,2025-05-18 04:04:00,52.7,16.7,72.3,0.0,62.6,100.0,55.1,100.0,100.0,0.8333,0.832,1.00524,0.05605,0
CNC_003,18,18,2025-05-18 04:19:00,52.6,15.8,73.6,0.0,61.2,100.0,55.1,100.0,100.0,0.8421,0.792,0.52256,0.05817,0
CNC_003,19,19,2025-05-18 04:33:00,55.9,15.0,70.3,33.0,55.7,100.0,55.1,100.0,100.0,0.85,0.89,0.3352,0.06645,0
CNC_003,20,20,2025-05-18 04:48:00,51.4,14.3,63.4,3.1,66.1,100.0,55.1,100.0,100.0,0.8571,1.098,-0.4847,0.05089,0
CNC_003,21,21,2025-05-18 05:02:00,49.8,13.6,57.3,0.0,67.6,100.0,55.1,100.0,100.0,0.8636,1.28,-1.24814,0.04861,0
CNC_003,22,22,2025-05-18 05:16:00,48.9,13.0,51.4,0.0,69.9,100.0,55.1,100.0,100.0,0.8696,1.458,-1.34098,0.04518,0
CNC_003,23,23,2025-05-18 05:31:00,47.4,12.5,44.6,0.0,69.6,100.0,55.1,100.0,100.0,0.875,1.663,-1.89573,0.04562,0
CNC_003,24,24,2025-05-18 05:45:00,47.0,12.0,41.1,0.0,72.8,100.0,55.1,100.0,100.0,0.88,1.768,-2.12478,0.04075,0
CNC_003,25,25,2025-05-18 06:00:00,45.9,11.5,36.3,0.0,72.4,100.0,55.1,100.0,100.0,0.8846,1.911,-1.8283,0.04142,0
CNC_003,26,26,2025-05-18 06:14:00,45.5,11.1,34.2,0.0,72.9,100.0,55.1,100.0,100.0,0.8889,1.973,-1.67814,0.04058,0
CNC_003,27,27,2025-05-18 06:28:00,45.4,10.7,33.0,0.0,74.1,100.0,55.1,100.0,100.0,0.8929,2.011,-1.74264,0.03885,0
CNC_003,28,28,2025-05-18 06:43:00,43.7,10.3,27.8,0.0,70.7,100.0,55.1,100.0,100.0,0.8966,2.166,-0.86382,0.04401,0
CNC_003,29,29,2025-05-18 06:57:00,57.7,10.0,26.7,94.9,70.4,100.0,55.1,100.0,100.0,0.9,2.198,-0.02534,0.04437,0
CNC_004,5,5,2025-05-18 01:12:00,51.6,50.0,42.7,0.0,57.6,100.0,44.0,100.0,100.0,0.5,1.719,-1.68026,0.06359,0
CNC_004,6,6,2025-05-18 01:26:00,49.6,42.9,45.2,0.0,50.8,100.0,44.0,100.0,100.0,0.5714,1.643,-1.09639,0.0738,0
CNC_004,7,7,2025-05-18 01:40:00,48.1,37.5,45.7,0.0,46.9,100.0,44.0,100.0,100.0,0.625,1.629,-0.99511,0.07962,0
CNC_004,8,8,2025-05-18 01:55:00,48.7,44.4,50.5,0.0,35.2,100.0,44.0,100.0,100.0,0.5556,1.484,-1.02944,0.09723,0
CNC_004,9,9,2025-05-18 02:09:00,46.9,50.0,46.2,0.0,21.5,100.0,44.0,100.0,100.0,0.5,1.614,-1.1984,0.11776,0
CNC_004,10,10,2025-05-18 02:24:00,43.4,45.5,41.4,0.0,10.5,100.0,44.0,100.0,100.0,0.5455,1.757,-0.89297,0.13426,0
CNC_004,11,11,2025-05-18 02:38:00,41.5,41.7,43.9,0.0,0.0,100.0,44.0,100.0,100.0,0.5833,1.683,-0.90074,0.15357,0
CNC_004,12,12,2025-05-18 02:52:00,40.2,38.5,40.7,0.0,0.0,100.0,44.0,100.0,100.0,0.6154,1.778,-1.24277,0.16704,0
CNC_004,13,13,2025-05-18 03:07:00,39.0,35.7,37.1,0.0,0.0,100.0,44.0,100.0,100.0,0.6429,1.886,-1.56647,0.16017,0
CNC_004,14,14,2025-05-18 03:21:00,40.1,33.3,45.0,0.0,0.0,100.0,44.0,100.0,100.0,0.6667,1.651,-0.98777,0.16557,0
CNC_004,15,15,2025-05-18 03:36:00,40.9,31.2,51.1,0.0,0.0,100.0,44.0,100.0,100.0,0.6875,1.468,-0.55959,0.17666,0
CNC_004,16,16,2025-05-18 03:50:00,51.7,29.4,52.0,73.6,0.0,100.0,44.0,100.0,100.0,0.7059,1.439,0.13221,0.17453,0
CNC_004,17,17,2025-05-18 04:04:00,43.5,33.3,59.9,0.0,3.2,100.0,44.0,100.0,100.0,0.6667,1.204,0.56543,0.14522,0
CNC_004,18,18,2025-05-18 04:19:00,46.6,31.6,62.6,0.0,22.7,100.0,44.0,100.0,100.0,0.6842,1.124,0.96239,0.11596,0
CNC_004,19,19,2025-05-18 04:33:00,47.8,30.0,56.9,2.2,37.9,100.0,44.0,100.0,100.0,0.7,1.292,0.48918,0.09321,0
CNC_004,20,20,2025-05-18 04:48:00,58.8,33.3,56.5,60.3,49.4,100.0,44.0,100.0,100.0,0.6667,1.305,-0.19834,0.07596,0
CNC_004,21,21,2025-05-18 05:02:00,50.4,36.4,54.4,0.0,52.4,100.0,44.0,100.0,100.0,0.6364,1.369,-0.87072,0.07142,0
CNC_004,22,22,2025-05-18 05:16:00,50.0,34.8,50.3,0.0,57.2,100.0,44.0,100.0,100.0,0.6522,1.491,-0.91118,0.06423,0
CNC_004,23,23,2025-05-18 05:31:00,51.7,37.5,49.9,0.0,65.4,100.0,44.0,100.0,100.0,0.625,1.502,-0.71061,0.05194,0
CNC_004,24,24,2025-05-18 05:45:00,51.0,36.0,49.6,0.0,63.3,100.0,44.0,100.0,100.0,0.64,1.513,-0.86931,0.05504,0
CNC_004,25,25,2025-05-18 06:00:00,50.8,34.6,47.3,0.0,66.8,100.0,44.0,100.0,100.0,0.6538,1.581,-1.12112,0.04973,0
CNC_004,26,26,2025-05-18 06:14:00,53.2,33.3,51.8,9.3,69.1,100.0,44.0,100.0,100.0,0.6667,1.447,-0.45355,0.04634,0
CNC_004,27,27,2025-05-18 06:28:00,61.6,32.1,56.4,59.7,70.6,100.0,44.0,100.0,100.0,0.6786,1.309,0.20145,0.04416,0
CNC_004,28,28,2025-05-18 06:43:00,52.5,31.0,57.3,0.0,69.8,100.0,44.0,100.0,100.0,0.6897,1.281,0.72355,0.04528,0
CNC_004,29,29,2025-05-18 06:57:00,52.7,33.3,59.1,0.0,65.5,100.0,44.0,100.0,100.0,0.6667,1.227,0.66745,0.05171,0
CNC_005,5,5,2025-05-18 01:12:00,45.1,16.7,29.1,0.0,73.8,100.0,49.1,100.0,100.0,0.8333,2.127,-1.47368,0.03932,0
CNC_005,6,6,2025-05-18 01:26:00,52.5,14.3,24.6,55.8,76.1,100.0,49.1,100.0,100.0,0.8571,2.261,-0.22104,0.0359,0
CNC_005,7,7,2025-05-18 01:40:00,44.1,12.5,25.0,0.0,77.7,100.0,49.1,100.0,100.0,0.875,2.25,0.96598,0.03346,0
CNC_005,8,8,2025-05-18 01:55:00,44.4,11.1,26.9,0.0,79.1,100.0,49.1,100.0,100.0,0.8889,2.193,1.71447,0.0313,0
CNC_005,9,9,2025-05-18 02:09:00,43.5,10.0,28.6,0.0,72.5,100.0,49.1,100.0,100.0,0.9,2.143,2.21027,0.04127,0
CNC_005,10,10,2025-05-18 02:24:00,46.6,18.2,35.9,0.0,72.3,100.0,49.1,100.0,100.0,0.8182,1.923,3.35195,0.04156,0
CNC_005,11,11,2025-05-18 02:38:00,47.3,16.7,47.3,0.0,63.7,100.0,49.1,100.0,100.0,0.8333,1.582,3.77839,0.05449,0
CNC_005,12,12,2025-05-18 02:52:00,45.8,15.4,54.0,0.0,46.5,100.0,49.1,100.0,100.0,0.8462,1.381,3.80776,0.08021,0
CNC_005,13,13,2025-05-18 03:07:00,46.0,21.4,58.4,0.0,34.0,100.0,49.1,100.0,100.0,0.7857,1.247,2.69791,0.09899,0
CNC_005,14,14,2025-05-18 03:21:00,46.3,20.0,63.4,0.0,31.6,100.0,49.1,100.0,100.0,0.8,1.097,1.72937,0.10265,0
CNC_005,15,15,2025-05-18 03:36:00,47.1,18.8,66.2,0.0,34.6,100.0,49.1,100.0,100.0,0.8125,1.014,1.01839,0.09813,0
CNC_005,16,16,2025-05-18 03:50:00,45.8,17.6,62.4,0.0,32.7,100.0,49.1,100.0,100.0,0.8235,1.129,0.50576,0.10096,0
CNC_005,17,17,2025-05-18 04:04:00,45.4,16.7,56.9,0.0,38.3,100.0,49.1,100.0,100.0,0.8333,1.293,1.06157,0.09255,0
CNC_005,18,18,2025-05-18 04:19:00,47.2,15.8,56.3,0.0,52.6,100.0,49.1,100.0,100.0,0.8421,1.311,1.00175,0.07104,0
CNC_005,19,19,2025-05-18 04:33:00,46.8,15.0,52.8,0.0,55.4,100.0,49.1,100.0,100.0,0.85,1.417,1.31092,0.06688,0
CNC_005,20,20,2025-05-18 04:48:00,49.0,19.0,47.5,0.0,71.9,100.0,49.1,100.0,100.0,0.8095,1.574,1.26318,0.04211,0
CNC_005,21,21,2025-05-18 05:02:00,49.8,18.2,47.9,0.0,77.8,100.0,49.1,100.0,100.0,0.8182,1.562,1.33898,0.03332,0
CNC_005,22,22,2025-05-18 05:16:00,59.3,17.4,51.5,62.1,75.0,100.0,49.1,100.0,100.0,0.8261,1.455,0.18929,0.03754,0
CNC_005,23,23,2025-05-18 05:31:00,53.8,16.7,47.9,46.1,60.2,100.0,49.1,100.0,100.0,0.8333,1.563,-0.26932,0.05963,0
CNC_005,24,24,2025-05-18 05:45:00,52.0,16.0,42.5,41.5,61.1,100.0,49.1,100.0,100.0,0.84,1.726,0.2925,0.05842,0
CNC_005,25,25,2025-05-18 06:00:00,56.2,15.4,36.4,78.4,61.1,100.0,49.1,100.0,100.0,0.8462,1.908,0.10813,0.05832,0
CNC_005,26,26,2025-05-18 06:14:00,41.6,14.8,23.6,0.0,60.3,100.0,49.1,100.0,100.0,0.8519,2.291,0.85288,0.05953,0
CNC_005,27,27,2025-05-18 06:28:00,37.4,14.3,6.6,0.0,55.2,100.0,49.1,100.0,100.0,0.8571,2.803,2.96794,0.06716,0
CNC_005,28,28,2025-05-18 06:43:00,36.0,13.8,0.0,0.0,55.3,100.0,49.1,100.0,100.0,0.8621,3.262,4.2211,0.06702,0
CNC_005,29,29,2025-05-18 06:57:00,35.0,13.3,0.0,0.0,49.3,100.0,49.1,100.0,100.0,0.8667,3.416,4.91307,0.07612,0
CNC_006,5,5,2025-05-18 01:12:00,57.5,50.0,39.8,0.0,70.2,100.0,89.8,100.0,100.0,0.5,1.807,3.94547,0.04474,0
CNC_006,6,6,2025-05-18 01:26:00,56.4,42.9,39.7,0.0,72.7,100.0,89.8,100.0,100.0,0.5714,1.81,3.97219,0.04095,0
CNC_006,7,7,2025-05-18 01:40:00,54.2,37.5,35.9,0.0,70.2,100.0,89.8,100.0,100.0,0.625,1.924,3.82141,0.0447,0
CNC_006,8,8,2025-05-18 01:55:00,53.5,33.3,36.0,0.0,71.0,100.0,89.8,100.0,100.0,0.6667,1.92,3.55751,0.04356,0
CNC_006,9,9,2025-05-18 02:09:00,53.0,30.0,42.5,0.0,63.6,100.0,89.8,100.0,100.0,0.7,1.725,3.02187,0.05463,0
CNC_006,10,10,2025-05-18 02:24:00,52.5,27.3,43.5,0.0,62.7,100.0,89.8,100.0,100.0,0.7273,1.695,2.12746,0.0559,0
CNC_006,11,11,2025-05-18 02:38:00,52.1,25.0,50.4,0.0,53.8,100.0,89.8,100.0,100.0,0.75,1.489,0.77778,0.06923,0
CNC_006,12,12,2025-05-18 02:52:00,54.5,30.8,60.6,0.0,48.1,100.0,89.8,100.0,100.0,0.6923,1.181,-0.63102,0.07787,0
CNC_006,13,13,2025-05-18 03:07:00,55.8,28.6,65.9,0.0,53.1,100.0,89.8,100.0,100.0,0.7143,1.023,-1.67418,0.07029,0
CNC_006,14,14,2025-05-18 03:21:00,58.5,33.3,69.0,0.0,60.6,100.0,89.8,100.0,100.0,0.6667,0.929,-1.82341,0.05905,0
CNC_006,15,15,2025-05-18 03:36:00,58.3,37.5,66.9,0.0,56.5,100.0,89.8,100.0,100.0,0.625,0.992,-2.50414,0.06524,0
CNC_006,16,16,2025-05-18 03:50:00,58.0,41.2,61.6,0.0,56.7,100.0,89.8,100.0,100.0,0.5882,1.152,-2.21346,0.06495,0
CNC_006,17,17,2025-05-18 04:04:00,56.8,38.9,54.2,0.0,61.0,100.0,89.8,100.0,100.0,0.6111,1.374,-0.70546,0.05844,0
CNC_006,18,18,2025-05-18 04:19:00,56.1,36.8,46.1,0.0,70.2,100.0,89.8,100.0,100.0,0.6316,1.616,0.50298,0.04471,0
CNC_006,19,19,2025-05-18 04:33:00,53.9,35.0,41.2,0.0,64.6,100.0,89.8,100.0,100.0,0.65,1.764,1.17125,0.05317,0
CNC_006,20,20,2025-05-18 04:48:00,51.8,33.3,36.0,0.0,60.0,100.0,89.8,100.0,100.0,0.6667,1.919,1.7436,0.06007,0
CNC_006,21,21,2025-05-18 05:02:00,51.2,36.4,38.9,0.0,47.6,100.0,89.8,100.0,100.0,0.6364,1.832,2.2615,0.07855,0
CNC_006,22,22,2025-05-18 05:16:00,49.2,34.8,39.7,0.0,35.5,100.0,89.8,100.0,100.0,0.6522,1.81,2.02437,0.09674,0
CNC_006,23,23,2025-05-18 05:31:00,48.4,33.3,42.6,0.0,28.1,100.0,89.8,100.0,100.0,0.6667,1.721,1.40399,0.10788,0
CNC_006,24,24,2025-05-18 05:45:00,53.5,32.0,41.4,42.9,23.0,100.0,89.8,100.0,100.0,0.68,1.758,0.28573,0.11546,0
CNC_006,25,25,2025-05-18 06:00:00,47.6,30.8,41.6,0.0,27.7,100.0,89.8,100.0,100.0,0.6923,1.751,-0.92299,0.10846,0
CNC_006,26,26,2025-05-18 06:14:00,49.4,33.3,37.9,0.0,41.4,100.0,89.8,100.0,100.0,0.6667,1.862,-2.30428,0.08797,0
CNC_006,27,27,2025-05-18 06:28:00,50.8,32.1,38.1,0.0,52.1,100.0,89.8,100.0,100.0,0.6786,1.857,-2.74726,0.07185,0
CNC_006,28,28,2025-05-18 06:43:00,51.9,31.0,35.4,0.0,64.2,100.0,89.8,100.0,100.0,0.6897,1.937,-2.75556,0.05372,0
CNC_006,29,29,2025-05-18 06:57:00,52.8,33.3,33.4,0.0,69.6,100.0,89.8,100.0,100.0,0.6667,1.997,-3.12904,0.04566,0
CNC_007,5,5,2025-05-18 01:12:00,67.9,33.3,65.2,93.7,57.0,100.0,55.3,100.0,100.0,0.6667,1.043,0.03133,0.06447,0
CNC_007,6,6,2025-05-18 01:26:00,63.1,28.6,63.0,75.3,52.9,100.0,55.3,100.0,100.0,0.7143,1.109,0.12371,0.07071,0
CNC_007,7,7,2025-05-18 01:40:00,62.4,25.0,59.9,88.5,44.2,100.0,55.3,100.0,100.0,0.75,1.202,0.05766,0.08371,0
CNC_007,8,8,2025-05-18 01:55:00,62.9,33.3,55.6,97.4,33.2,100.0,55.3,100.0,100.0,0.6667,1.333,-0.01312,0.10019,0
CNC_007,9,9,2025-05-18 02:09:00,61.0,30.0,50.0,100.0,29.8,100.0,55.3,100.0,100.0,0.7,1.5,9e-05,0.10524,0
CNC_007,10,10,2025-05-18 02:24:00,56.6,27.3,38.5,91.9,27.7,100.0,55.3,100.0,100.0,0.7273,1.844,0.04053,0.10838,0
CNC_007,11,11,2025-05-18 02:38:00,54.1,25.0,31.0,90.9,24.7,100.0,55.3,100.0,100.0,0.75,2.07,0.0453,0.11297,0
CNC_007,12,12,2025-05-18 02:52:00,52.4,30.8,32.3,63.5,32.0,100.0,55.3,100.0,100.0,0.6923,2.032,0.18274,0.10205,0
CNC_007,13,13,2025-05-18 03:07:00,55.4,28.6,38.5,63.7,46.1,100.0,55.3,100.0,100.0,0.7143,1.844,-0.18148,0.08092,0
CNC_007,14,14,2025-05-18 03:21:00,55.8,26.7,44.6,48.6,58.5,100.0,55.3,100.0,100.0,0.7333,1.663,0.25675,0.06232,0
CNC_007,15,15,2025-05-18 03:36:00,66.1,31.2,55.7,95.1,59.2,100.0,55.3,100.0,100.0,0.6875,1.328,0.02464,0.06113,0
CNC_007,16,16,2025-05-18 03:50:00,64.9,29.4,63.0,91.1,47.9,100.0,55.3,100.0,100.0,0.7059,1.11,-0.04467,0.07813,0
CNC_007,17,17,2025-05-18 04:04:00,51.0,27.8,59.4,16.1,37.8,100.0,55.3,100.0,100.0,0.7222,1.219,-0.41949,0.09332,0
CNC_007,18,18,2025-05-18 04:19:00,47.7,26.3,50.0,0.0,46.2,100.0,55.3,100.0,100.0,0.7368,1.501,-1.58438,0.08067,0
CNC_007,19,19,2025-05-18 04:33:00,47.7,25.0,44.7,0.0,54.6,100.0,55.3,100.0,100.0,0.75,1.658,-1.92159,0.06816,0
CNC_007,20,20,2025-05-18 04:48:00,44.3,23.8,28.6,0.0,55.5,100.0,55.3,100.0,100.0,0.7619,2.141,-2.41087,0.06676,0
CNC_007,21,21,2025-05-18 05:02:00,42.9,22.7,18.8,0.0,60.5,100.0,55.3,100.0,100.0,0.7727,2.437,-2.69315,0.05927,0
CNC_007,22,22,2025-05-18 05:16:00,42.4,21.7,16.3,0.0,61.7,100.0,55.3,100.0,100.0,0.7826,2.512,-2.7642,0.05751,0
CNC_007,23,23,2025-05-18 05:31:00,42.3,20.8,17.1,0.0,61.5,100.0,55.3,100.0,100.0,0.7917,2.486,-2.83317,0.0577,0
CNC_007,24,24,2025-05-18 05:45:00,42.6,20.0,19.2,0.0,61.3,100.0,55.3,100.0,100.0,0.8,2.424,-1.76728,0.05802,0
CNC_007,25,25,2025-05-18 06:00:00,43.7,19.2,26.3,0.0,60.5,100.0,55.3,100.0,100.0,0.8077,2.212,-0.67133,0.05923,0
