machine_id,anomaly_score,health_score,trend_score,maintenance_priority,maintenance_strategy,predicted_risk,primary_pattern,recommended_action,spare_parts,technician_type,technician_count,tech_cost_tier,tech_labor_savings,estimated_duration_hours,recommended_downtime_window,downtime_start,scheduled_day,production_impact,estimated_cost,acceptance_standard,sla_target_hours,trigger_threshold,execution_status,reasoning,maintenance_suggestion,priority,alert_level,action_type,cost_at_risk,urgency_score,recommended_window_days,expected_savings
CNC_009,0.7178,34.0000,0.3658,P1,quality_first,ALARM,thermal_buildup,schedule_inspection,"[""cooling_fan_assembly"", ""thermal_paste"", ""temperature_sensor_pt100"", ""heat_sink_assembly"", ""o-ring_set""]",thermal_specialist,2,standard,0.0000,2.3000,night,2026-06-14 22:00:00,-1,544.7200,2380.7800,[TH-01] 温度恢复至正常运行区间: z_score < 1.5 持续30分钟 | [TH-02] 冷却系统功能测试通过: ΔT ≤ 15°C | [TH-03] 维修后无异常温升趋势: |斜率| < 0.05（连续10个观测点） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.3h）— 夜间窗口最小化生产损失,"[低风险等级 | 夜间窗口] 安排检查：预计2.3h，备件=[cooling_fan_assembly, thermal_paste, temperature_sensor_pt100]，估算成本=$2,381，日产值风险=$5,684。故障模式：热累积。验收标准：参照热累积类验收规则执行。",11,ALARM,schedule_inspection,5229.2800,100.0000,1,3660.5000
CNC_009,0.7178,34.0000,0.3658,P1,quality_first,ALARM,thermal_buildup,schedule_inspection,"[""cooling_fan_assembly"", ""thermal_paste"", ""temperature_sensor_pt100"", ""heat_sink_assembly"", ""o-ring_set""]",thermal_specialist,2,standard,0.0000,2.3000,night,2026-06-14 22:00:00,-1,544.7200,2380.7800,[TH-01] 温度恢复至正常运行区间: z_score < 1.5 持续30分钟 | [TH-02] 冷却系统功能测试通过: ΔT ≤ 15°C | [TH-03] 维修后无异常温升趋势: |斜率| < 0.05（连续10个观测点） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.3h）— 夜间窗口最小化生产损失,"[低风险等级 | 夜间窗口] 安排检查：预计2.3h，备件=[cooling_fan_assembly, thermal_paste, temperature_sensor_pt100]，估算成本=$2,381，日产值风险=$5,684。故障模式：热累积。验收标准：参照热累积类验收规则执行。",12,ALARM,schedule_inspection,5229.2800,100.0000,1,3660.5000
CNC_009,0.7178,34.0000,0.3658,P1,quality_first,ALARM,thermal_buildup,schedule_inspection,"[""cooling_fan_assembly"", ""thermal_paste"", ""temperature_sensor_pt100"", ""heat_sink_assembly"", ""o-ring_set""]",thermal_specialist,2,standard,0.0000,2.3000,night,2026-06-14 22:00:00,-1,544.7200,2380.7800,[TH-01] 温度恢复至正常运行区间: z_score < 1.5 持续30分钟 | [TH-02] 冷却系统功能测试通过: ΔT ≤ 15°C | [TH-03] 维修后无异常温升趋势: |斜率| < 0.05（连续10个观测点） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.3h）— 夜间窗口最小化生产损失,"[低风险等级 | 夜间窗口] 安排检查：预计2.3h，备件=[cooling_fan_assembly, thermal_paste, temperature_sensor_pt100]，估算成本=$2,381，日产值风险=$5,684。故障模式：热累积。验收标准：参照热累积类验收规则执行。",13,ALARM,schedule_inspection,5229.2800,100.0000,1,3660.5000
CNC_013,0.6799,38.9000,0.5949,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",senior_technician,1,standard,0.0000,2.7000,immediate,2026-06-14 02:51:08,0,793.8000,2130.9600,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.7h）— 夜间窗口最小化生产损失,"[高风险等级 | 夜间窗口] 安排检查：预计2.7h，备件=[o-ring_set]，估算成本=$2,131，日产值风险=$7,056。故障模式：正常。验收标准：参照正常类验收规则执行。",14,ALARM,schedule_inspection,6491.5200,100.0000,1,4544.0600
CNC_013,0.6799,38.9000,0.5949,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",senior_technician,1,standard,0.0000,2.7000,night,2026-06-14 22:00:00,-1,793.8000,2130.9600,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.7h）— 夜间窗口最小化生产损失,"[高风险等级 | 夜间窗口] 安排检查：预计2.7h，备件=[o-ring_set]，估算成本=$2,131，日产值风险=$7,056。故障模式：正常。验收标准：参照正常类验收规则执行。",15,ALARM,schedule_inspection,6491.5200,100.0000,1,4544.0600
CNC_054,0.6661,35.2000,0.1364,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",junior_technician,1,standard,0.0000,2.6000,night,2026-06-15 02:51:08,1,750.2100,2010.3000,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.6h）— 夜间窗口最小化生产损失,"[中风险等级 | 夜间窗口] 安排检查：预计2.6h，备件=[o-ring_set]，估算成本=$2,010，日产值风险=$6,925。故障模式：正常。验收标准：参照正常类验收规则执行。",16,ALARM,schedule_inspection,6371.0000,100.0000,1,4459.7000
CNC_054,0.6661,35.2000,0.1364,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",junior_technician,1,standard,0.0000,2.6000,night,2026-06-14 22:00:00,-1,750.2100,2010.3000,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.6h）— 夜间窗口最小化生产损失,"[中风险等级 | 夜间窗口] 安排检查：预计2.6h，备件=[o-ring_set]，估算成本=$2,010，日产值风险=$6,925。故障模式：正常。验收标准：参照正常类验收规则执行。",17,ALARM,schedule_inspection,6371.0000,100.0000,1,4459.7000
CNC_054,0.6661,35.2000,0.1364,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",junior_technician,1,standard,0.0000,2.6000,night,2026-06-14 22:00:00,-1,750.2100,2010.3000,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.6h）— 夜间窗口最小化生产损失,"[中风险等级 | 夜间窗口] 安排检查：预计2.6h，备件=[o-ring_set]，估算成本=$2,010，日产值风险=$6,925。故障模式：正常。验收标准：参照正常类验收规则执行。",18,ALARM,schedule_inspection,6371.0000,100.0000,1,4459.7000
CNC_052,0.6379,39.5000,0.6820,P1,quality_first,ALARM,combined_degradation,schedule_inspection,"[""rotor_assembly"", ""bearing_kit"", ""seal_kit"", ""lubrication_kit"", ""o-ring_set""]",junior_technician,2,downgraded,30.0000,3.1000,night,2026-06-15 02:51:08,1,332.2200,3902.2400,[CD-01] 全部参数恢复至基线水平: z_composite < 2.0 持续60分钟 | [CD-02] 转子转速稳定性恢复: CV(RPM) < 1% 持续30分钟 | [CD-03] 振动基线已建立: 振动RMS ≤ 2.0 mm/s（ISO 10816-3 A区） | [UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,质量优先策略：夜间窗口进行最快无损修复,"[低风险等级 | 夜间窗口] 安排检查：预计3.1h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$3,902，日产值风险=$2,572。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。",19,ALARM,schedule_inspection,2469.1200,68.0000,1,1728.3800
CNC_066,0.6272,36.2000,0.1630,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",junior_technician,1,standard,0.0000,2.5000,night,2026-06-15 02:51:08,1,764.3800,1680.5100,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.5h）— 夜间窗口最小化生产损失,"[低风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[o-ring_set]，估算成本=$1,681，日产值风险=$7,338。故障模式：正常。验收标准：参照正常类验收规则执行。",20,ALARM,schedule_inspection,5283.3600,100.0000,1,3698.3500
CNC_066,0.6272,36.2000,0.1630,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",junior_technician,1,standard,0.0000,2.5000,night,2026-06-14 22:00:00,-1,764.3800,1680.5100,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.5h）— 夜间窗口最小化生产损失,"[低风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[o-ring_set]，估算成本=$1,681，日产值风险=$7,338。故障模式：正常。验收标准：参照正常类验收规则执行。",21,ALARM,schedule_inspection,5283.3600,100.0000,1,3698.3500
CNC_066,0.6272,36.2000,0.1630,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",junior_technician,1,standard,0.0000,2.5000,night,2026-06-14 22:00:00,-1,764.3800,1680.5100,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.5h）— 夜间窗口最小化生产损失,"[低风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[o-ring_set]，估算成本=$1,681，日产值风险=$7,338。故障模式：正常。验收标准：参照正常类验收规则执行。",22,ALARM,schedule_inspection,5283.3600,100.0000,1,3698.3500
CNC_066,0.6272,36.2000,0.1630,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",junior_technician,1,standard,0.0000,2.5000,night,2026-06-14 22:00:00,-1,764.3800,1680.5100,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.5h）— 夜间窗口最小化生产损失,"[低风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[o-ring_set]，估算成本=$1,681，日产值风险=$7,338。故障模式：正常。验收标准：参照正常类验收规则执行。",23,ALARM,schedule_inspection,5283.3600,100.0000,1,3698.3500
CNC_085,0.6271,52.0000,0.2158,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",senior_technician,1,standard,0.0000,2.5000,immediate,2026-06-14 02:51:08,0,774.1700,2489.2800,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.5h）— 夜间窗口最小化生产损失,"[高风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[o-ring_set]，估算成本=$2,489，日产值风险=$7,432。故障模式：正常。验收标准：参照正常类验收规则执行。",24,ALARM,schedule_inspection,7729.2800,100.0000,1,5410.5000
CNC_085,0.6271,52.0000,0.2158,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",senior_technician,1,standard,0.0000,2.5000,night,2026-06-14 22:00:00,-1,774.1700,2489.2800,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.5h）— 夜间窗口最小化生产损失,"[高风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[o-ring_set]，估算成本=$2,489，日产值风险=$7,432。故障模式：正常。验收标准：参照正常类验收规则执行。",25,ALARM,schedule_inspection,7729.2800,100.0000,1,5410.5000
CNC_085,0.6271,52.0000,0.2158,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",senior_technician,1,standard,0.0000,2.5000,night,2026-06-14 22:00:00,-1,774.1700,2489.2800,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.5h）— 夜间窗口最小化生产损失,"[高风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[o-ring_set]，估算成本=$2,489，日产值风险=$7,432。故障模式：正常。验收标准：参照正常类验收规则执行。",26,ALARM,schedule_inspection,7729.2800,100.0000,1,5410.5000
CNC_085,0.6271,52.0000,0.2158,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",senior_technician,1,standard,0.0000,2.5000,night,2026-06-14 22:00:00,-1,774.1700,2489.2800,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.5h）— 夜间窗口最小化生产损失,"[高风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[o-ring_set]，估算成本=$2,489，日产值风险=$7,432。故障模式：正常。验收标准：参照正常类验收规则执行。",27,ALARM,schedule_inspection,7729.2800,100.0000,1,5410.5000
CNC_085,0.6271,52.0000,0.2158,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",senior_technician,1,standard,0.0000,2.5000,night,2026-06-14 22:00:00,-1,774.1700,2489.2800,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.5h）— 夜间窗口最小化生产损失,"[高风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[o-ring_set]，估算成本=$2,489，日产值风险=$7,432。故障模式：正常。验收标准：参照正常类验收规则执行。",28,ALARM,schedule_inspection,7729.2800,100.0000,1,5410.5000
CNC_085,0.6271,52.0000,0.2158,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",senior_technician,1,standard,0.0000,2.5000,night,2026-06-14 22:00:00,-1,774.1700,2489.2800,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.5h）— 夜间窗口最小化生产损失,"[高风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[o-ring_set]，估算成本=$2,489，日产值风险=$7,432。故障模式：正常。验收标准：参照正常类验收规则执行。",29,ALARM,schedule_inspection,7729.2800,100.0000,1,5410.5000
CNC_085,0.6271,52.0000,0.2158,P1,quality_first,ALARM,normal,schedule_inspection,"[""o-ring_set""]",senior_technician,1,standard,0.0000,2.5000,night,2026-06-14 22:00:00,-1,774.1700,2489.2800,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,8.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,高紧急度（100/100）且维修工时短（2.5h）— 夜间窗口最小化生产损失,"[高风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[o-ring_set]，估算成本=$2,489，日产值风险=$7,432。故障模式：正常。验收标准：参照正常类验收规则执行。",30,ALARM,schedule_inspection,7729.2800,100.0000,1,5410.5000
CNC_091,0.5851,43.2000,0.2398,P2,quality_first,WARNING,normal,increase_monitoring,"[""o-ring_set""]",junior_technician,1,standard,0.0000,1.1000,night,2026-06-16 02:51:08,2,286.8200,1923.9000,[UC-01] 维修后24小时内无告警复现: 维修后alert_level = NORMAL 持续24小时,24.0000,"alarm>=0.6, warning>=0.4, watch>=0.25, max_orders=30, merge_downtime=False",pending,质量优先策略：夜间窗口进行最快无损修复,"[中风险等级 | 夜间窗口] 加密监控：预计1.1h，备件=[o-ring_set]，估算成本=$1,924，日产值风险=$6,258。故障模式：正常。验收标准：参照正常类验收规则执行。",31,WARNING,increase_monitoring,6258.0000,66.0000,1,4380.6000
