machine_id,risk_score,alert_level,action_type,urgency_score,estimated_cost_at_risk,recommended_window_days,primary_pattern,patterns_detected,diagnosis_confidence,maintenance_suggestion
CNC_024,0.5607,WARNING,increase_monitoring,44.0000,9450.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_074,0.5998,WARNING,increase_monitoring,44.0000,6404.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_086,0.6344,WARNING,increase_monitoring,44.0000,9570.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_001,0.6737,WARNING,increase_monitoring,44.0000,8586.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_035,0.6393,WARNING,increase_monitoring,44.0000,8938.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_002,0.5652,WARNING,increase_monitoring,44.0000,8382.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_052,0.6802,WARNING,increase_monitoring,44.0000,6173.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_031,0.5516,WARNING,increase_monitoring,44.0000,4669.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_084,0.5900,WARNING,increase_monitoring,44.0000,5872.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_022,0.5776,WARNING,increase_monitoring,44.0000,7748.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_069,0.6386,WARNING,increase_monitoring,44.0000,5520.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_014,0.5551,WARNING,increase_monitoring,44.0000,6419.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_041,0.6421,WARNING,increase_monitoring,44.0000,6650.0000,14,normal,[],0.0000,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
CNC_028,0.5338,WATCH,routine_check,30.0000,1150.0000,30,normal,[],0.0000,"Continue routine maintenance (next check in 30 days). Cost at risk: $1,150. Baseline monitoring sufficient."
CNC_004,0.4947,WATCH,routine_check,30.0000,1136.0000,30,normal,[],0.0000,"Continue routine maintenance (next check in 30 days). Cost at risk: $1,136. Baseline monitoring sufficient."
CNC_079,0.5127,WATCH,routine_check,30.0000,1284.0000,30,normal,[],0.0000,"Continue routine maintenance (next check in 30 days). Cost at risk: $1,284. Baseline monitoring sufficient."
CNC_046,0.5045,WATCH,routine_check,24.0000,912.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $912. Baseline monitoring sufficient.
CNC_088,0.4921,WATCH,routine_check,24.0000,797.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $797. Baseline monitoring sufficient.
CNC_030,0.4326,WATCH,routine_check,24.0000,491.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $491. Baseline monitoring sufficient.
CNC_006,0.4751,WATCH,routine_check,24.0000,659.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $659. Baseline monitoring sufficient.
CNC_082,0.5299,WATCH,routine_check,24.0000,1076.0000,30,normal,[],0.0000,"Continue routine maintenance (next check in 30 days). Cost at risk: $1,076. Baseline monitoring sufficient."
CNC_098,0.5493,WATCH,routine_check,24.0000,623.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $623. Baseline monitoring sufficient.
CNC_011,0.4973,WATCH,routine_check,24.0000,609.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $609. Baseline monitoring sufficient.
CNC_027,0.5337,WATCH,routine_check,24.0000,491.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $491. Baseline monitoring sufficient.
CNC_007,0.5404,WATCH,routine_check,24.0000,1019.0000,30,normal,[],0.0000,"Continue routine maintenance (next check in 30 days). Cost at risk: $1,019. Baseline monitoring sufficient."
CNC_075,0.4243,WATCH,routine_check,24.0000,862.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $862. Baseline monitoring sufficient.
CNC_090,0.4390,WATCH,routine_check,24.0000,568.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $568. Baseline monitoring sufficient.
CNC_060,0.4889,WATCH,routine_check,24.0000,774.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $774. Baseline monitoring sufficient.
CNC_099,0.4974,WATCH,routine_check,24.0000,957.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $957. Baseline monitoring sufficient.
CNC_010,0.5157,WATCH,routine_check,24.0000,720.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $720. Baseline monitoring sufficient.
CNC_038,0.5377,WATCH,routine_check,24.0000,769.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $769. Baseline monitoring sufficient.
CNC_008,0.4717,WATCH,routine_check,24.0000,759.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $759. Baseline monitoring sufficient.
CNC_100,0.4768,WATCH,routine_check,24.0000,740.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $740. Baseline monitoring sufficient.
CNC_061,0.4804,WATCH,routine_check,24.0000,678.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $678. Baseline monitoring sufficient.
CNC_040,0.4553,WATCH,routine_check,24.0000,611.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $611. Baseline monitoring sufficient.
CNC_051,0.5094,WATCH,routine_check,24.0000,750.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $750. Baseline monitoring sufficient.
CNC_020,0.4805,WATCH,routine_check,24.0000,589.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $589. Baseline monitoring sufficient.
CNC_026,0.5314,WATCH,routine_check,24.0000,995.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $995. Baseline monitoring sufficient.
CNC_045,0.4759,WATCH,routine_check,24.0000,809.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $809. Baseline monitoring sufficient.
CNC_062,0.4963,WATCH,routine_check,24.0000,1069.0000,30,normal,[],0.0000,"Continue routine maintenance (next check in 30 days). Cost at risk: $1,069. Baseline monitoring sufficient."
CNC_080,0.5430,WATCH,routine_check,24.0000,671.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $671. Baseline monitoring sufficient.
CNC_094,0.4752,WATCH,routine_check,24.0000,307.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $307. Baseline monitoring sufficient.
CNC_015,0.5189,WATCH,routine_check,24.0000,395.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $395. Baseline monitoring sufficient.
CNC_076,0.4538,WATCH,routine_check,24.0000,693.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $693. Baseline monitoring sufficient.
CNC_032,0.4739,WATCH,routine_check,24.0000,974.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $974. Baseline monitoring sufficient.
CNC_021,0.3548,WATCH,routine_check,24.0000,414.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $414. Baseline monitoring sufficient.
CNC_029,0.4562,WATCH,routine_check,24.0000,488.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $488. Baseline monitoring sufficient.
CNC_050,0.3978,WATCH,routine_check,24.0000,454.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $454. Baseline monitoring sufficient.
CNC_018,0.3995,WATCH,routine_check,24.0000,552.0000,30,normal,[],0.0000,Continue routine maintenance (next check in 30 days). Cost at risk: $552. Baseline monitoring sufficient.
